,concreteness with duplicates,analytic with duplicates,tone with duplicates,i with duplicates,posemo with duplicates,negemo with duplicates,cogproc with duplicates,avg_narrative_flow_summaries with duplicates
t-statistic,5.178227127555548,-12.585957947886401,-6.994781636791198,-0.17232979746705782,-4.15599465070123,7.402985267932215,0.4247264188030414,-15.012711204207166
p-value,2.5262982157531965e-07,1.0785217807987276e-34,3.9026956002133975e-12,0.8632002327817242,3.4115013148983084e-05,2.150533089610862e-13,0.6710936967066776,9.751315172917111e-48
effect size,0.16460945408003672,-0.41576522239758434,-0.23270703741440074,-0.0059325590677104115,-0.14182769799795508,0.24775312573063604,0.014431386962148724,-0.538484975633169
direction,imagined,recalled,recalled,recalled,recalled,imagined,imagined,recalled
