,concreteness with duplicates,concreteness without duplicates,analytic with duplicates,analytic without duplicates,tone with duplicates,tone without duplicates,i with duplicates,i without duplicates,posemo with duplicates,posemo without duplicates,negemo with duplicates,negemo without duplicates,cogproc with duplicates,cogproc without duplicates,avg_narrative_flow_summaries with duplicates,avg_narrative_flow_summaries without duplicates,avg_narrative_flow_events with duplicates,avg_narrative_flow_events without duplicates,avg_narrative_flow_empty with duplicates,avg_narrative_flow_empty without duplicates
t-statistic,-2.423426851359791,-2.640505117931046,-10.537204477262906,-10.43928301982841,5.941900197437458,5.750460488958155,8.221949775806047,8.240973991696205,9.772451738361976,9.911945293211192,2.891339209821536,2.934485125228558,12.149090171626419,11.577570156045104,18.420371889762794,17.295669420182698,5.494016998255681,5.081700991620208,4.531571911969261,4.460027236373554
p-value,0.01543887404815846,0.00832832697097143,1.7647029679327407e-25,5.149209963561565e-25,3.171657699504528e-09,9.952224661270892e-09,3.0474785440467415e-16,2.688816090601323e-16,3.376474940412076e-22,9.399564470160742e-23,0.0038660757782349306,0.003370607800406556,4.016703032192216e-33,2.9720014705681817e-30,1.50099542961237e-71,1.7305954089438606e-63,4.287997340716127e-08,4.0092706587689914e-07,6.104093864662696e-06,8.546981453562117e-06
effect size,-0.05560885377370703,-0.06303545078650805,-0.24087808044778747,-0.24714990818052684,0.11695572027506124,0.11706093402866255,0.15693065548588014,0.1631632789132261,0.21490836504160254,0.22592288891084114,0.059175993582319626,0.062216108860699226,0.29105177865855975,0.28749055810007457,0.44098413300762934,0.4266678426935386,0.14552112136410403,0.13965328108326244,0.12038283594997104,0.12273081226317607
direction,recalled,recalled,recalled,recalled,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined,imagined
